LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
gpt-4o,hard,framing_effect,10,49,heldout_refit_on_rule_activations,0.7898746244001091,0.24278899289921915,0.8229367538798967,1.0,1.0
gpt-3.5-turbo,easy,oversimplification,1,67,heldout_refit_on_rule_activations,0.0012607175319813146,0.5559244732627489,0.06815480151135468,0.005867859623823508,0.008645533141210375
gpt-3.5-turbo,easy,oversimplification,3,67,heldout_refit_on_rule_activations,0.00896371145224295,0.553447694095676,0.05029316876105047,0.010394284558689109,0.37526902758755626
gpt-3.5-turbo,easy,oversimplification,10,67,heldout_refit_on_rule_activations,0.023159275886729724,0.5384096182862038,0.16230855353370102,0.08652878253751108,0.09302325581395349
llama3.1:70b,easy,information_overload,1,10,heldout_refit_on_rule_activations,0.7918993307797764,0.04980367481451483,0.8896549781071484,1.0,1.0
llama3.1:70b,easy,information_overload,3,10,heldout_refit_on_rule_activations,0.797504648416756,0.04758566104458123,0.8895984267995853,1.0,1.0
llama3.1:70b,easy,information_overload,10,10,heldout_refit_on_rule_activations,0.7923259804687922,0.047229278294093645,0.3377231210549367,1.0,1.0
gpt-4o,easy,oversimplification,1,52,heldout_refit_on_rule_activations,0.16152101768333205,0.26126505638873787,0.33265785863513825,1.0,1.0
gpt-4o,easy,oversimplification,3,52,heldout_refit_on_rule_activations,0.1669887119762411,0.26003378259681204,0.14240213255351297,1.0,1.0
gpt-4o,easy,oversimplification,10,52,heldout_refit_on_rule_activations,0.1825795428495781,0.25579019603311987,0.20481239053835923,1.0,1.0
llama3.1,hard,framing_effect,1,38,heldout_refit_on_rule_activations,0.7003455345310343,0.5348772776087267,0.7959528940233916,0.9650884140172259,0.9757919904363419
llama3.1,hard,framing_effect,3,38,heldout_refit_on_rule_activations,0.7020049315544544,0.5297720472566538,0.787232734951535,1.0,1.0
llama3.1,hard,framing_effect,10,38,heldout_refit_on_rule_activations,0.729616475318167,0.5134577871127238,0.6890533290920517,1.0,1.0
llama3.1,medium,information_overload,1,47,heldout_refit_on_rule_activations,0.6061662077479673,0.42835757693055404,0.780220517870952,1.0,1.0
llama3.1,medium,information_overload,3,47,heldout_refit_on_rule_activations,0.6325315387794723,0.41403240721489953,0.7854812242710653,1.0,1.0
llama3.1,medium,information_overload,10,47,heldout_refit_on_rule_activations,0.6459590136964002,0.40452906627817176,0.6967872351450486,1.0,1.0
gpt-4o-mini,hard,oversimplification,1,46,heldout_refit_on_rule_activations,0.44842979920017545,0.4222154572720141,0.6575552430498011,-0.015344303164981617,0.0027124773960217
gpt-4o-mini,hard,oversimplification,3,46,heldout_refit_on_rule_activations,0.4546460840809945,0.413069574164636,0.6062645685305224,0.025395314035448133,0.00723589001447178
gpt-4o-mini,hard,oversimplification,10,46,heldout_refit_on_rule_activations,0.4705992032253308,0.4025505220704821,0.6152976599441645,0.025395314035448133,0.00723589001447178
gpt-4o-mini,medium,explanation_length,1,32,heldout_refit_on_rule_activations,0.5477902089697202,31.206417370516206,0.08071080346562987,1.0,1.0
gpt-4o-mini,medium,explanation_length,3,32,heldout_refit_on_rule_activations,0.7448432155930744,30.403324751799982,0.08090727707678368,1.0,1.0
gpt-4o-mini,medium,explanation_length,10,32,heldout_refit_on_rule_activations,0.8624076830655136,25.235107868070312,0.5625500914644218,1.0,1.0
gpt-3.5-turbo,hard,gunning_fog,1,51,heldout_refit_on_rule_activations,0.37251333943831233,3.1377231885575867,0.414558753618832,0.9689392448736162,0.9708029197080292
gpt-3.5-turbo,hard,gunning_fog,3,51,heldout_refit_on_rule_activations,0.3739007294766795,3.1376250644037786,0.4142333266828866,0.9689392448736162,0.9708029197080292
gpt-3.5-turbo,hard,gunning_fog,10,51,heldout_refit_on_rule_activations,0.42301056592695685,2.9938985070707522,0.4353441881699003,0.9689392448736162,0.9708029197080292
llama3.1,hard,explanation_length,1,35,heldout_refit_on_rule_activations,0.9039400256202741,84.5087861699122,0.3578335401194408,1.0,1.0
llama3.1,hard,explanation_length,3,35,heldout_refit_on_rule_activations,0.9383434745234266,75.90286452296891,0.3578730800378547,1.0,1.0
