LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
llama3.1,easy,information_overload,1,84,heldout_refit_on_rule_activations,0.11655894998579197,0.5091083810471336,0.33585867759360327,0.045008001394573956,0.019736842105263157
llama3.1,easy,information_overload,3,84,heldout_refit_on_rule_activations,0.17767808466699853,0.5395510843727701,0.405839015253121,0.09830828470414316,0.7890268553277505
llama3.1,easy,information_overload,10,84,heldout_refit_on_rule_activations,0.2170844912251233,0.5176515389517632,0.4545992949436391,1.0,1.0
gpt-3.5-turbo,hard,framing_effect,1,55,heldout_refit_on_rule_activations,0.7765065988317226,0.5476941485503188,0.7733861525259644,0.9707175594663444,0.9778197262859839
gpt-3.5-turbo,hard,framing_effect,3,55,heldout_refit_on_rule_activations,0.7894086612498364,0.5408304685148048,0.7791465139126333,0.9781930456185692,0.983575786015955
gpt-3.5-turbo,hard,framing_effect,10,55,heldout_refit_on_rule_activations,0.8025620790096137,0.517496327715214,0.6834788947734664,0.9944215867052112,0.9985439249312409
llama3.1,hard,subjectivity_score_nn,1,80,heldout_refit_on_rule_activations,0.7803698589888471,0.10051545986185974,0.7889466045700099,1.0,1.0
llama3.1,hard,subjectivity_score_nn,3,80,heldout_refit_on_rule_activations,0.8195871436778117,0.08628145455903817,0.7831373038989857,1.0,1.0
llama3.1,hard,subjectivity_score_nn,10,80,heldout_refit_on_rule_activations,0.8248742345177865,0.08250190026359111,0.7732682490649369,1.0,1.0
llama3.1:70b,hard,framing_effect,1,88,heldout_refit_on_rule_activations,0.6242010007674199,0.44683149522078675,0.5009018151925276,0.45599876547010804,0.41786743515850144
llama3.1:70b,hard,framing_effect,3,88,heldout_refit_on_rule_activations,0.7461875509206295,0.29286566759859983,0.7048348298767275,0.9387174422486652,0.9822173062196886
llama3.1:70b,hard,framing_effect,10,88,heldout_refit_on_rule_activations,0.7858285995358429,0.24235643704755866,0.7545576131950746,0.9504623531629124,0.9858414582450191
gpt-3.5-turbo,medium,subjectivity_score_nn,1,19,heldout_refit_on_rule_activations,0.5911422070275661,0.18314265930938117,0.658352467133267,0.9993768278234124,0.9995381062355658
gpt-3.5-turbo,medium,subjectivity_score_nn,3,19,heldout_refit_on_rule_activations,0.592294318936276,0.1812068946826141,0.6556638987221439,0.9993768278234124,0.9995381062355658
gpt-3.5-turbo,medium,subjectivity_score_nn,10,19,heldout_refit_on_rule_activations,0.5961650010154778,0.17811233613094593,0.6051202077393627,0.9993768278234124,0.9995381062355658
llama3.1:70b,medium,explanation_length,1,14,heldout_refit_on_rule_activations,0.9371146723821501,51.62317604512744,0.2802105117112093,1.0,1.0
llama3.1:70b,medium,explanation_length,3,14,heldout_refit_on_rule_activations,0.939075891081219,51.568161247459116,0.2802125020558651,1.0,1.0
llama3.1:70b,medium,explanation_length,10,14,heldout_refit_on_rule_activations,0.9505452748998877,41.66744411545874,0.6285856815627754,1.0,1.0
gpt-4o,hard,framing_effect,1,93,heldout_refit_on_rule_activations,0.5786789616861632,0.35697169781947563,0.7979294815918841,0.9858134164599421,0.991526600916794
gpt-4o,hard,framing_effect,3,93,heldout_refit_on_rule_activations,0.7766843259486625,0.2415624960891614,0.8746760053919244,0.9858134164599421,0.991526600916794
gpt-4o,hard,framing_effect,10,93,heldout_refit_on_rule_activations,0.8122889776201732,0.2128843927385571,0.8351204060342756,0.9858134164599421,0.991526600916794
gpt-4o-mini,hard,oversimplification,1,69,heldout_refit_on_rule_activations,0.44842979920017545,0.4222154572720141,0.6575552430498011,0.018740703384855,0.0055579307396323215
